match_url,result,B365H,B365A,B365D
https://www.premierleague.com/match/59024,0,1.75,4.5,3.8
https://www.premierleague.com/match/59079,1,2.1,3.4,3.5
https://www.premierleague.com/match/59073,1,2.45,3.1,3.1
https://www.premierleague.com/match/58928,0,1.4,8.0,4.75
https://www.premierleague.com/match/58983,1,3.0,2.4,3.25
https://www.premierleague.com/match/59055,1,3.6,2.0,3.6
https://www.premierleague.com/match/59084,0,1.8,4.75,3.5
https://www.premierleague.com/match/58966,1,1.65,5.0,4.1
https://www.premierleague.com/match/59034,1,2.05,3.6,3.5
https://www.premierleague.com/match/59046,1,3.25,2.2,3.5
https://www.premierleague.com/match/58968,0,1.36,8.5,5.0
https://www.premierleague.com/match/58898,1,6.0,1.53,4.33
https://www.premierleague.com/match/58916,1,4.75,1.72,3.75
https://www.premierleague.com/match/58927,0,10.0,1.3,5.5
https://www.premierleague.com/match/58915,1,6.5,1.5,4.33
https://www.premierleague.com/match/59009,2,9.0,1.3,5.5
https://www.premierleague.com/match/59004,1,2.87,2.55,3.2
https://www.premierleague.com/match/59028,0,1.44,6.25,5.0
https://www.premierleague.com/match/58899,0,1.28,9.5,6.0
https://www.premierleague.com/match/58922,1,2.7,2.62,3.3
https://www.premierleague.com/match/58981,0,1.3,9.5,5.5
https://www.premierleague.com/match/58976,1,2.15,3.2,3.6
https://www.premierleague.com/match/58906,0,1.53,5.5,4.5
https://www.premierleague.com/match/58971,0,2.3,3.25,3.2
https://www.premierleague.com/match/59080,0,1.8,4.5,3.75
https://www.premierleague.com/match/59045,2,3.6,2.15,3.25
https://www.premierleague.com/match/59049,2,3.75,2.0,3.5
https://www.premierleague.com/match/59011,0,2.0,3.8,3.5
https://www.premierleague.com/match/59066,2,1.53,6.5,4.0
https://www.premierleague.com/match/58959,1,2.5,2.62,3.6
https://www.premierleague.com/match/58924,2,9.0,1.36,4.75
https://www.premierleague.com/match/58900,0,1.22,12.0,6.5
https://www.premierleague.com/match/59083,1,6.25,1.6,3.75
https://www.premierleague.com/match/59038,2,3.2,2.3,3.3
https://www.premierleague.com/match/58913,1,2.6,2.87,3.1
https://www.premierleague.com/match/59052,2,12.0,1.25,6.0
https://www.premierleague.com/match/58903,1,2.15,3.4,3.4
https://www.premierleague.com/match/58904,1,5.0,1.61,4.33
https://www.premierleague.com/match/59064,0,1.75,4.2,4.1
https://www.premierleague.com/match/59085,1,1.6,7.0,3.5
https://www.premierleague.com/match/58975,0,1.83,4.2,3.75
https://www.premierleague.com/match/58967,2,1.85,4.33,3.5
https://www.premierleague.com/match/58984,0,4.0,1.8,4.0
https://www.premierleague.com/match/58992,0,1.16,16.0,7.5
https://www.premierleague.com/match/59065,1,5.75,1.57,4.0
https://www.premierleague.com/match/59072,0,1.57,5.5,4.2
https://www.premierleague.com/match/59010,1,2.15,3.1,3.7
https://www.premierleague.com/match/58901,1,1.83,4.33,3.6
https://www.premierleague.com/match/58951,0,1.22,12.0,6.5
https://www.premierleague.com/match/59018,2,2.87,2.5,3.3
https://www.premierleague.com/match/59030,0,2.45,2.8,3.5
https://www.premierleague.com/match/59040,2,2.9,2.3,3.6
https://www.premierleague.com/match/58917,1,3.2,2.3,3.3
https://www.premierleague.com/match/58923,2,1.45,7.0,4.5
https://www.premierleague.com/match/58952,2,2.37,2.8,3.6
https://www.premierleague.com/match/58990,1,1.95,3.6,3.8
https://www.premierleague.com/match/59006,1,1.53,6.25,4.2
https://www.premierleague.com/match/58958,0,2.4,3.0,3.3
https://www.premierleague.com/match/59043,1,4.2,1.85,3.6
https://www.premierleague.com/match/59075,0,1.14,16.0,8.5
https://www.premierleague.com/match/58988,2,2.05,3.6,3.5
https://www.premierleague.com/match/59013,0,2.45,3.0,3.2
https://www.premierleague.com/match/58926,0,1.57,6.0,4.0
https://www.premierleague.com/match/58933,0,2.4,3.1,3.2
https://www.premierleague.com/match/58978,1,3.9,1.85,3.9
https://www.premierleague.com/match/58980,0,1.85,3.8,4.0
https://www.premierleague.com/match/59027,0,3.5,2.2,3.25
https://www.premierleague.com/match/59058,1,3.0,2.2,3.7
https://www.premierleague.com/match/58921,1,1.28,9.5,6.0
https://www.premierleague.com/match/58943,2,2.1,3.7,3.3
https://www.premierleague.com/match/59031,0,1.66,4.5,4.33
https://www.premierleague.com/match/59002,1,3.8,1.95,3.5
https://www.premierleague.com/match/58931,1,1.61,5.25,4.2
https://www.premierleague.com/match/59076,0,1.4,8.0,4.5
https://www.premierleague.com/match/59017,2,1.75,4.5,3.8
https://www.premierleague.com/match/59078,1,6.5,1.5,4.33
https://www.premierleague.com/match/58932,1,1.85,4.0,3.8
https://www.premierleague.com/match/58912,1,1.3,9.5,5.5
https://www.premierleague.com/match/59071,0,2.45,3.1,3.1
https://www.premierleague.com/match/58902,1,3.8,1.95,3.6
https://www.premierleague.com/match/58999,0,1.5,6.0,4.5
https://www.premierleague.com/match/58986,1,2.05,3.75,3.4
https://www.premierleague.com/match/59032,2,2.5,2.9,3.25
https://www.premierleague.com/match/58964,0,1.61,5.5,4.0
https://www.premierleague.com/match/59063,0,5.0,1.61,4.33
https://www.premierleague.com/match/58920,0,1.45,6.5,4.75
https://www.premierleague.com/match/58948,2,1.7,4.75,4.0
https://www.premierleague.com/match/59060,1,2.1,3.5,3.5
https://www.premierleague.com/match/58963,1,9.5,1.28,6.0
https://www.premierleague.com/match/59016,2,2.25,3.1,3.5
https://www.premierleague.com/match/58905,1,3.25,2.37,3.1
https://www.premierleague.com/match/59070,0,2.87,2.45,3.4
https://www.premierleague.com/match/58937,2,2.62,2.7,3.3
https://www.premierleague.com/match/59051,0,1.53,6.25,4.2
https://www.premierleague.com/match/58997,1,2.45,2.9,3.4
https://www.premierleague.com/match/59003,0,1.95,3.8,3.6
https://www.premierleague.com/match/58929,0,1.72,4.8,3.75
https://www.premierleague.com/match/58945,2,2.45,2.9,3.3
https://www.premierleague.com/match/58942,1,4.75,1.66,4.0
https://www.premierleague.com/match/58941,0,1.44,6.5,5.0
https://www.premierleague.com/match/58953,0,2.75,2.55,3.4
https://www.premierleague.com/match/59041,2,1.11,19.0,10.0
https://www.premierleague.com/match/59048,2,1.61,5.0,4.2
https://www.premierleague.com/match/58969,0,2.87,2.45,3.4
https://www.premierleague.com/match/58934,0,1.72,4.75,3.8
https://www.premierleague.com/match/58972,2,1.95,3.4,4.2
https://www.premierleague.com/match/58960,0,1.36,7.5,5.25
https://www.premierleague.com/match/59039,0,1.72,4.33,4.0
https://www.premierleague.com/match/59015,1,2.25,3.25,3.25
https://www.premierleague.com/match/58897,0,3.1,2.37,3.25
https://www.premierleague.com/match/59059,0,1.95,3.9,3.5
https://www.premierleague.com/match/58908,1,3.1,2.2,3.6
https://www.premierleague.com/match/59082,0,1.14,17.0,8.5
https://www.premierleague.com/match/58936,2,1.45,6.5,4.75
https://www.premierleague.com/match/58950,1,2.75,2.7,3.1
https://www.premierleague.com/match/59068,1,6.0,1.53,4.33
https://www.premierleague.com/match/59023,0,5.25,1.66,3.8
https://www.premierleague.com/match/59061,0,1.72,4.2,4.2
https://www.premierleague.com/match/58925,0,3.6,2.05,3.5
https://www.premierleague.com/match/59019,0,1.75,4.33,4.0
https://www.premierleague.com/match/58954,2,8.0,1.36,5.25
https://www.premierleague.com/match/58989,1,2.05,3.75,3.25
https://www.premierleague.com/match/59081,2,1.95,3.6,3.8
https://www.premierleague.com/match/58907,0,2.7,2.75,3.1
https://www.premierleague.com/match/59026,2,1.65,5.5,3.75
https://www.premierleague.com/match/58911,0,1.61,5.5,4.0
https://www.premierleague.com/match/58962,0,3.7,2.05,3.4
https://www.premierleague.com/match/59029,1,6.5,1.5,4.33
https://www.premierleague.com/match/58919,1,2.9,2.5,3.25
https://www.premierleague.com/match/58918,1,3.75,2.1,3.25
https://www.premierleague.com/match/58896,1,7.0,1.45,4.5
https://www.premierleague.com/match/58949,1,5.75,1.6,4.0
https://www.premierleague.com/match/58995,0,2.25,3.0,3.6
https://www.premierleague.com/match/58957,1,6.0,1.5,4.5
https://www.premierleague.com/match/59021,1,7.0,1.44,4.6
https://www.premierleague.com/match/59008,0,4.33,1.7,4.2
https://www.premierleague.com/match/58965,0,2.0,4.33,3.2
https://www.premierleague.com/match/59020,1,2.15,3.25,3.6
https://www.premierleague.com/match/58940,1,1.83,4.1,3.8
https://www.premierleague.com/match/58956,1,2.45,2.8,3.5
https://www.premierleague.com/match/59000,0,1.5,6.5,4.33
https://www.premierleague.com/match/58974,1,7.0,1.45,4.33
https://www.premierleague.com/match/58946,1,1.9,3.8,3.75
https://www.premierleague.com/match/58938,2,3.75,1.83,4.2
https://www.premierleague.com/match/58985,2,2.3,3.25,3.25
https://www.premierleague.com/match/59035,1,3.6,1.95,3.8
https://www.premierleague.com/match/58991,1,1.5,6.5,4.33
https://www.premierleague.com/match/59044,2,2.3,3.1,3.4
https://www.premierleague.com/match/58961,1,2.0,3.6,3.6
https://www.premierleague.com/match/59036,0,4.0,1.9,3.6
https://www.premierleague.com/match/59007,2,4.5,1.72,3.9
https://www.premierleague.com/match/59012,2,4.33,1.72,4.2
https://www.premierleague.com/match/58930,2,7.5,1.36,5.25
https://www.premierleague.com/match/59054,2,1.36,8.5,5.0
https://www.premierleague.com/match/59033,1,7.0,1.44,4.5
https://www.premierleague.com/match/58979,2,3.0,2.2,3.75
https://www.premierleague.com/match/59005,1,3.6,2.0,3.6
https://www.premierleague.com/match/58939,1,2.5,2.87,3.3
https://www.premierleague.com/match/58977,0,2.75,2.75,3.1
https://www.premierleague.com/match/58910,0,1.61,5.75,3.9
https://www.premierleague.com/match/59062,1,5.25,1.61,4.2
https://www.premierleague.com/match/58947,1,2.05,3.3,3.75
https://www.premierleague.com/match/58973,0,2.0,3.7,3.6
https://www.premierleague.com/match/58982,1,6.5,1.45,4.75
https://www.premierleague.com/match/58970,1,2.9,2.37,3.5
https://www.premierleague.com/match/59047,0,2.37,3.25,3.1
https://www.premierleague.com/match/58955,2,1.75,5.25,3.5
https://www.premierleague.com/match/58914,1,3.0,2.37,3.3
https://www.premierleague.com/match/59037,0,1.9,3.8,3.75
https://www.premierleague.com/match/59001,0,1.1,19.0,11.0
https://www.premierleague.com/match/58987,2,5.5,1.57,4.2
https://www.premierleague.com/match/58935,0,1.5,7.5,4.0
https://www.premierleague.com/match/58909,0,1.5,6.5,4.2
https://www.premierleague.com/match/59025,2,1.09,21.0,11.0
https://www.premierleague.com/match/59014,0,1.7,5.0,3.75
https://www.premierleague.com/match/58944,2,1.57,5.5,4.33
https://www.premierleague.com/match/59053,2,2.1,3.4,3.6
https://www.premierleague.com/match/59056,2,2.62,2.75,3.25
https://www.premierleague.com/match/58993,1,4.0,1.95,3.5
https://www.premierleague.com/match/59042,0,1.11,19.0,10.0
https://www.premierleague.com/match/59074,1,1.18,15.0,7.5
https://www.premierleague.com/match/58998,2,4.0,1.9,3.5
https://www.premierleague.com/match/59022,2,2.05,3.6,3.4
https://www.premierleague.com/match/58994,0,2.6,2.8,3.2
