,match_url,home_formation,home_team,home_goals,away_goals,away_team,away_formation,home_xi_numbers,home_xi_names,away_xi_numbers,away_xi_names,home_sequence,away_sequence,home_xi_sofifa_ids,away_xi_sofifa_ids
0,https://www.premierleague.com/match/14338,4-3-3,Swansea City,0,0,Middlesbrough,4-2-3-1,"1,26,33,6,16,8,24,42,28,3,23","Lukasz Fabianski,Kyle Naughton,Federico Fernández,Alfie Mawson,Martin Olsson,Leroy Fer,Jack Cork,Tom Carroll,Luciano Narsingh,Jordan Ayew,Gylfi Sigurdsson","26,17,5,6,2,8,14,37,19,21,10","Víctor Valdés,Antonio Barragán,Bernardo Espinosa,Ben Gibson,Fabio,Adam Clayton,Marten de Roon,Adama Traoré,Stewart Downing,Gastón Ramírez,Álvaro Negredo","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,CR,CL,RL,C,LR,C","164835.0,186598.0,215985.0,208534.0,184472.0,186351.0,169706.0,202491.0,192362.0,197756.0,208275.0","106573.0,169426.0,186521.0,200408.0,189680.0,186385.0,208461.0,213956.0,54013.0,201508.0,146439.0"
1,https://www.premierleague.com/match/14100,4-5-1,Burnley,0,1,Arsenal,4-2-3-1,"1,2,5,6,23,13,8,16,25,21,9","Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,Jeff Hendrick,Dean Marney,Steven Defour,Jóhann Gudmundsson,George Boyd,Sam Vokes","33,24,20,6,18,19,29,14,11,17,7","Petr Cech,Héctor Bellerín,Shkodran Mustafi,Laurent Koscielny,Nacho Monreal,Santi Cazorla,Granit Xhaka,Theo Walcott,Mesut Özil,Alex Iwobi,Alexis Sánchez","C,R,CR,CL,L,R,CR,C,CL,L,C","C,R,CR,CL,L,CR,CL,RL,C,LR,C","163264.0,199633.0,207599.0,189682.0,165321.0,200478.0,152991.0,170815.0,191076.0,179592.0,179746.0","48940.0,203747.0,192227.0,165229.0,177604.0,146562.0,199503.0,164859.0,176635.0,213655.0,184941.0"
2,https://www.premierleague.com/match/14204,4-3-3,Middlesbrough,3,0,Swansea City,4-2-3-1,"26,17,25,6,2,14,8,34,21,10,11","Víctor Valdés,Antonio Barragán,Calum Chambers,Ben Gibson,Fabio,Marten de Roon,Adam Clayton,Adam Forshaw,Gastón Ramírez,Álvaro Negredo,Viktor Fischer","1,22,6,2,3,7,56,17,23,15,9","Lukasz Fabianski,Angel Rangel,Alfie Mawson,Jordi Amat,Neil Taylor,Leon Britton,Jay Fulton,Modou Barrow,Gylfi Sigurdsson,Wayne Routledge,Fernando Llorente","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,CR,CL,RL,C,LR,C","106573.0,169426.0,205989.0,200408.0,189680.0,208461.0,186385.0,193910.0,201508.0,146439.0,203965.0","164835.0,176543.0,208534.0,198198.0,173735.0,140415.0,221890.0,207645.0,208275.0,54051.0,162131.0"
3,https://www.premierleague.com/match/14074,4-2-3-1,Manchester United,1,2,Manchester City,4-3-3,"1,25,3,17,23,27,6,22,10,14,9","David de Gea,Luis Antonio Valencia,Eric Bailly,Daley Blind,Luke Shaw,Marouane Fellaini,Paul Pogba,Henrikh Mkhitaryan,Wayne Rooney,Jesse Lingard,Zlatan Ibrahimovic","1,3,24,30,11,17,25,21,7,72,9","Claudio Bravo,Bacary Sagna,John Stones,Nicolás Otamendi,Aleksandar Kolarov,Kevin De Bruyne,Fernandinho,David Silva,Raheem Sterling,Kelechi Iheanacho,Nolito","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,R,CR,CL,L,RL,C,LR,RL,C,LR","193080.0,167905.0,225508.0,190815.0,205988.0,176944.0,195864.0,192883.0,54050.0,207494.0,41236.0","174543.0,163419.0,203574.0,192366.0,185103.0,192985.0,135507.0,168542.0,202652.0,225719.0,199561.0"
4,https://www.premierleague.com/match/14371,4-4-1-1,AFC Bournemouth,4,0,Middlesbrough,5-4-1,"1,15,2,3,11,24,8,4,7,17,9","Artur Boruc,Adam Smith,Simon Francis,Steve Cook,Charlie Daniels,Ryan Fraser,Harry Arter,Dan Gosling,Marc Pugh,Joshua King,Benik Afobe","12,17,25,4,6,3,21,14,8,19,10","Brad Guzan,Antonio Barragán,Calum Chambers,Daniel Ayala,Ben Gibson,George Friend,Gastón Ramírez,Marten de Roon,Adam Clayton,Stewart Downing,Álvaro Negredo","C,R,CR,CL,L,R,CR,CL,L,C,C","C,R,CR,C,CL,L,R,CR,CL,L,C","105846.0,190885.0,135883.0,193011.0,169638.0,207807.0,184469.0,184749.0,166838.0,185422.0,202052.0","164505.0,169426.0,205989.0,194334.0,200408.0,169509.0,201508.0,208461.0,186385.0,54013.0,146439.0"
5,https://www.premierleague.com/match/14257,4-3-3,Southampton,3,0,Leicester City,4-1-2-1-2,"1,2,3,17,21,23,14,16,22,9,11","Fraser Forster,Cédric Soares,Maya Yoshida,Virgil van Dijk,Ryan Bertrand,Pierre-Emile Højbjerg,Oriol Romeu,James Ward-Prowse,Nathan Redmond,Jay Rodriguez,Dusan Tadic","1,17,5,6,28,25,4,24,20,22,9","Kasper Schmeichel,Danny Simpson,Wes Morgan,Robert Huth,Christian Fuchs,Wilfred Ndidi,Danny Drinkwater,Nampalys Mendy,Shinji Okazaki,Demarai Gray,Jamie Vardy","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,C,RL,LR,C,CR,CL","172203.0,201118.0,191648.0,203376.0,169705.0,213648.0,199576.0,205569.0,198719.0,169792.0,199434.0","163587.0,169600.0,136113.0,137785.0,139313.0,226790.0,186132.0,198861.0,194365.0,220633.0,208830.0"
6,https://www.premierleague.com/match/14189,4-3-3,Watford,3,2,Everton,4-2-3-1,"1,18,5,3,25,17,11,29,7,9,33","Heurelho Gomes,Juan Camilo Zuñiga,Sebastian Prödl,Miguel Britos,José Holebas,Adlène Guédioura,Valon Behrami,Etienne Capoue,Nordin Amrabat,Troy Deeney,Stefano Okaka","22,23,5,25,3,17,18,7,16,11,10","Maarten Stekelenburg,Séamus Coleman,Ashley Williams,Ramiro Funes Mori,Leighton Baines,Idrissa Gueye,Gareth Barry,Gerard Deulofeu,James McCarthy,Kevin Mirallas,Romelu Lukaku","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,CR,CL,RL,C,LR,C","135451.0,176546.0,177578.0,189067.0,182744.0,183385.0,161805.0,178213.0,183108.0,183125.0,178091.0","2147.0,180216.0,163824.0,199667.0,163631.0,193474.0,6826.0,202477.0,188253.0,172175.0,192505.0"
7,https://www.premierleague.com/match/14178,4-2-3-1,West Bromwich Albion,3,1,Watford,4-4-2,"1,25,23,6,2,24,5,11,7,10,9","Ben Foster,Craig Dawson,Gareth McAuley,Jonny Evans,Allan-Roméo Nyom,Darren Fletcher,Claudio Yacob,Chris Brunt,James Morrison,Matt Phillips,Salomón Rondón","1,18,27,5,25,37,17,29,7,33,9","Heurelho Gomes,Juan Camilo Zuñiga,Christian Kabasele,Sebastian Prödl,José Holebas,Roberto Pereyra,Adlène Guédioura,Etienne Capoue,Nordin Amrabat,Stefano Okaka,Troy Deeney","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,R,CR,CL,L,R,CR,CL,L,CR,CL","163155.0,194806.0,109852.0,169588.0,192667.0,138782.0,183893.0,52306.0,162981.0,188166.0,189250.0","135451.0,176546.0,190324.0,177578.0,182744.0,193061.0,183385.0,178213.0,183108.0,178091.0,183125.0"
8,https://www.premierleague.com/match/14331,4-4-2,Burnley,0,2,Tottenham Hotspur,3-4-2-1,"1,2,5,6,23,21,13,19,37,7,10","Tom Heaton,Matthew Lowton,Michael Keane,Ben Mee,Stephen Ward,George Boyd,Jeff Hendrick,Joey Barton,Scott Arfield,Andre Gray,Ashley Barnes","1,15,4,5,16,12,29,33,23,20,9","Hugo Lloris,Eric Dier,Toby Alderweireld,Jan Vertonghen,Kieran Trippier,Victor Wanyama,Harry Winks,Ben Davies,Christian Eriksen,Dele Alli,Vincent Janssen","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,RL,C,LR,R,CR,CL,L,CR,CL,C","163264.0,199633.0,207599.0,189682.0,165321.0,179592.0,200478.0,138193.0,178287.0,194138.0,186905.0","167948.0,202335.0,184087.0,172871.0,186345.0,188942.0,222400.0,205923.0,190460.0,211117.0,226537.0"
9,https://www.premierleague.com/match/14123,3-4-3,Chelsea,4,0,Manchester United,4-2-3-1,"13,28,30,24,15,7,21,3,11,19,10","Thibaut Courtois,César Azpilicueta,David Luiz,Gary Cahill,Victor Moses,N'Golo Kanté,Nemanja Matic,Marcos Alonso,Pedro,Diego Costa,Eden Hazard","1,25,3,12,17,27,21,19,6,14,9","David de Gea,Luis Antonio Valencia,Eric Bailly,Chris Smalling,Daley Blind,Marouane Fellaini,Ander Herrera,Marcus Rashford,Paul Pogba,Jesse Lingard,Zlatan Ibrahimovic","C,RL,C,LR,R,CR,CL,L,RL,C,LR","C,R,CR,CL,L,CR,CL,RL,C,LR,C","192119.0,184432.0,179944.0,164468.0,172962.0,215914.0,191202.0,192638.0,189505.0,179844.0,183277.0","193080.0,167905.0,225508.0,189881.0,190815.0,176944.0,191740.0,231677.0,195864.0,207494.0,41236.0"
